item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count,error
acceltra_prime_barrel,2025-09-01T02:00:03+00:00,pc,6.333,5.0,5.0,37.0,
acceltra_prime_blueprint,2025-09-01T02:00:04+00:00,pc,,0.0,1.0,33.0,
acceltra_prime_receiver,2025-09-01T02:00:05+00:00,pc,2.0,1.0,2.333,28.0,
acceltra_prime_set,2025-09-01T02:00:06+00:00,pc,15.667,5.0,20.0,67.0,
acceltra_prime_stock,2025-09-01T02:00:07+00:00,pc,6.667,4.0,10.0,15.0,
afuris_prime_barrel,2025-09-01T02:00:08+00:00,pc,5.0,1.0,4.667,8.0,
afuris_prime_blueprint,2025-09-01T02:00:09+00:00,pc,,0.0,2.667,12.0,
afuris_prime_link,2025-09-01T02:00:09+00:00,pc,2.0,1.0,4.667,9.0,
afuris_prime_receiver,2025-09-01T02:00:10+00:00,pc,21.667,9.0,30.667,5.0,
afuris_prime_set,2025-09-01T02:00:11+00:00,pc,66.667,7.0,86.667,17.0,
akarius_prime_barrel,2025-09-01T02:00:12+00:00,pc,1.0,2.0,3.667,17.0,
akarius_prime_blueprint,2025-09-01T02:00:13+00:00,pc,6.0,5.0,7.333,22.0,
akarius_prime_link,2025-09-01T02:00:13+00:00,pc,1.333,4.0,2.0,31.0,
akarius_prime_receiver,2025-09-01T02:00:14+00:00,pc,6.333,5.0,6.333,17.0,
akarius_prime_set,2025-09-01T02:00:15+00:00,pc,36.0,13.0,38.333,42.0,
akbolto_prime_barrel,2025-09-01T02:00:16+00:00,pc,2.667,3.0,6.333,10.0,
akbolto_prime_blueprint,2025-09-01T02:00:17+00:00,pc,,0.0,3.0,12.0,
akbolto_prime_link,2025-09-01T02:00:17+00:00,pc,2.0,1.0,4.333,10.0,
akbolto_prime_receiver,2025-09-01T02:00:18+00:00,pc,17.0,6.0,36.667,5.0,
akbolto_prime_set,2025-09-01T02:00:19+00:00,pc,60.0,6.0,90.0,21.0,
akbronco_prime_blueprint,2025-09-01T02:00:20+00:00,pc,,0.0,1.333,20.0,
akbronco_prime_link,2025-09-01T02:00:20+00:00,pc,2.0,1.0,2.0,24.0,
akbronco_prime_set,2025-09-01T02:00:21+00:00,pc,5.0,1.0,7.333,19.0,
akjagara_prime_barrel,2025-09-01T02:00:22+00:00,pc,15.333,6.0,24.0,8.0,
akjagara_prime_blueprint,2025-09-01T02:00:22+00:00,pc,,0.0,3.667,9.0,
akjagara_prime_link,2025-09-01T02:00:23+00:00,pc,,0.0,5.667,8.0,
akjagara_prime_receiver,2025-09-01T02:00:24+00:00,pc,5.0,1.0,8.667,8.0,
akjagara_prime_set,2025-09-01T02:00:24+00:00,pc,71.667,5.0,100.0,19.0,
aklex_prime_blueprint,2025-09-01T02:00:25+00:00,pc,2.0,2.0,5.667,21.0,
aklex_prime_link,2025-09-01T02:00:26+00:00,pc,12.667,5.0,30.667,15.0,
aklex_prime_set,2025-09-01T02:00:27+00:00,pc,15.0,1.0,31.667,36.0,
akmagnus_prime_blueprint,2025-09-01T02:00:28+00:00,pc,12.667,3.0,25.333,12.0,
akmagnus_prime_link,2025-09-01T02:00:28+00:00,pc,18.333,3.0,33.333,10.0,
akmagnus_prime_set,2025-09-01T02:00:29+00:00,pc,45.0,6.0,59.0,23.0,
aksomati_prime_barrel,2025-09-01T02:00:30+00:00,pc,5.0,1.0,7.333,9.0,
aksomati_prime_blueprint,2025-09-01T02:00:31+00:00,pc,,0.0,3.667,9.0,
aksomati_prime_link,2025-09-01T02:00:32+00:00,pc,13.667,5.0,51.667,5.0,
aksomati_prime_receiver,2025-09-01T02:00:32+00:00,pc,,0.0,6.0,8.0,
aksomati_prime_set,2025-09-01T02:00:33+00:00,pc,61.667,5.0,95.0,19.0,
akstiletto_prime_barrel,2025-09-01T02:00:34+00:00,pc,8.0,2.0,25.667,6.0,
akstiletto_prime_blueprint,2025-09-01T02:00:34+00:00,pc,,0.0,18.333,11.0,
akstiletto_prime_link,2025-09-01T02:00:35+00:00,pc,7.0,1.0,17.667,5.0,
akstiletto_prime_receiver,2025-09-01T02:00:36+00:00,pc,10.0,3.0,19.333,9.0,
akstiletto_prime_set,2025-09-01T02:00:37+00:00,pc,101.667,6.0,133.0,17.0,
