set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
dual_zoren_prime_set,pc,2025-08-15 00:00:00+00:00,39.1665,54.3335,7.5,34.0,39.1665,3,23.334,11.0,30.9995,132.8512042513071,71.63507007829517,7.5,232.49625
dual_zoren_prime_set,pc,2025-08-22 00:00:00+00:00,37.5,53.0,5.0,28.0,37.5,3,30.250999999999998,8.0,22.749000000000002,75.20081980760968,45.29854691266899,5.0,113.745
dual_zoren_prime_set,pc,2025-08-23 00:00:00+00:00,34.5,49.1665,5.5,27.0,34.5,3,21.666,6.0,27.5005,126.92929013200404,52.49121214491428,5.5,151.25275
dual_zoren_prime_set,pc,2025-08-24 00:00:00+00:00,33.167,48.6665,5.0,27.0,33.167,3,21.6665,7.0,27.0,124.61634320264002,52.213925801854224,5.0,135.0
dual_zoren_prime_set,pc,2025-08-25 00:00:00+00:00,30.6665,52.0,2.5,25.5,30.6665,3,23.8335,7.0,28.1665,118.18029244550738,46.346340534379216,2.5,70.41624999999999
dual_zoren_prime_set,pc,2025-08-26 00:00:00+00:00,30.1665,51.8335,3.5,25.0,30.1665,3,23.4165,8.0,28.417,121.35460038861488,52.26454449103384,3.5,99.4595
dual_zoren_prime_set,pc,2025-08-27 00:00:00+00:00,30.1665,53.5,2.5,28.0,30.1665,3,21.7495,9.0,31.7505,145.98266626819006,55.50159616702456,2.5,79.37625
dual_zoren_prime_set,pc,2025-08-28 00:00:00+00:00,31.4165,46.6665,3.0,34.5,31.4165,3,24.1665,7.0,22.5,93.10409037303705,38.69213093931494,3.0,67.5
dual_zoren_prime_set,pc,2025-08-29 00:00:00+00:00,34.333,48.3335,4.5,36.5,34.333,3,24.5,9.0,23.8335,97.2795918367347,47.58591775346245,4.5,107.25075000000001
dual_zoren_prime_set,pc,2025-08-30 00:00:00+00:00,30.5835,42.833,3.5,45.5,30.5835,3,22.834,8.0,19.999,87.58430410790925,36.78215945652904,3.5,69.9965
dual_zoren_prime_set,pc,2025-08-31 00:00:00+00:00,25.0,41.0,2.0,34.0,25.0,3,25.668,8.0,15.332,59.73196197600125,24.675902073439627,2.0,30.664
dual_zoren_prime_set,pc,2025-09-01 00:00:00+00:00,27.0835,44.6665,2.5,31.5,27.0835,3,22.334,8.0,22.3325,99.99328378257366,37.9578585139666,2.5,55.83125
dual_zoren_prime_set,pc,2025-09-02 00:00:00+00:00,30.667,45.0,6.0,35.5,30.667,3,21.833,7.0,23.167,106.11001694682363,46.619691063935,6.0,139.002
dual_zoren_prime_set,pc,2025-09-03 00:00:00+00:00,24.333,44.6665,3.5,39.0,24.333,3,23.8335,8.0,20.833,87.41057754840874,38.31605220050349,3.5,72.9155
dual_zoren_prime_set,pc,2025-09-04 00:00:00+00:00,32.6665,41.8335,5.0,42.0,32.6665,3,28.0005,7.0,13.833000000000002,49.402689237692194,26.750934652483316,5.0,69.165
dual_zoren_prime_set,pc,2025-09-05 00:00:00+00:00,29.0835,41.5,4.0,35.5,29.0835,3,24.166,8.0,17.334,71.72887527931805,32.859145757662205,4.0,69.336
dual_zoren_prime_set,pc,2025-09-06 00:00:00+00:00,27.6665,39.3335,4.0,41.5,27.6665,3,20.2495,9.0,19.084,94.24430232845255,37.135749284571595,4.0,76.336
dual_zoren_prime_set,pc,2025-09-07 00:00:00+00:00,28.667,39.6665,5.0,43.5,28.667,3,20.333,9.0,19.3335,95.08434564501059,39.48452105831687,5.0,96.6675
dual_zoren_prime_set,pc,2025-09-08 00:00:00+00:00,34.0,39.0,6.0,27.0,34.0,3,14.834,10.0,24.166,162.90953215585816,52.406209850886626,6.0,144.996
