set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
vectis_prime_set,pc,2025-08-15 00:00:00+00:00,72.1665,89.8335,8.0,36.0,72.1665,4,43.833,14.0,46.0005,104.94490452398878,112.68001686990311,8.0,368.004
vectis_prime_set,pc,2025-08-22 00:00:00+00:00,71.1665,88.667,6.0,27.0,71.1665,4,53.1665,6.0,35.5005,66.77230963106467,69.08078324653815,6.0,213.00300000000001
vectis_prime_set,pc,2025-08-23 00:00:00+00:00,73.167,92.5,8.0,27.0,73.167,4,49.4165,9.0,43.0835,87.18444244331347,96.92672792537701,8.0,344.668
vectis_prime_set,pc,2025-08-24 00:00:00+00:00,74.5,90.6665,7.5,28.5,74.5,4,59.167,7.0,31.499499999999998,53.238291615258504,66.45419408689301,7.0,220.49649999999997
vectis_prime_set,pc,2025-08-25 00:00:00+00:00,72.75,89.333,5.0,22.0,72.75,4,47.9995,8.0,41.3335,86.11235533703477,82.30460630422452,5.0,206.66750000000002
vectis_prime_set,pc,2025-08-26 00:00:00+00:00,71.3335,90.5,4.5,24.0,71.3335,4,42.8335,7.0,47.6665,111.28322457889269,90.040097163607,4.5,214.49925
vectis_prime_set,pc,2025-08-27 00:00:00+00:00,74.5,94.0,9.0,21.5,74.5,4,47.6665,8.0,46.3335,97.20348672547807,104.23838704679181,8.0,370.668
vectis_prime_set,pc,2025-08-28 00:00:00+00:00,75.5,91.5,7.5,26.0,75.5,4,50.9165,7.0,40.5835,79.70598921764065,85.61862206464937,7.0,284.0845
vectis_prime_set,pc,2025-08-29 00:00:00+00:00,74.5,92.8335,7.0,22.5,74.5,4,57.6665,6.0,35.167,60.9834132468591,70.767672795157,6.0,211.002
vectis_prime_set,pc,2025-08-30 00:00:00+00:00,75.6665,91.1665,6.5,22.0,75.6665,4,44.667,7.0,46.4995,104.10258132401997,95.1888980528046,6.5,302.24674999999996
vectis_prime_set,pc,2025-08-31 00:00:00+00:00,71.333,87.333,5.0,25.0,71.333,4,50.333,5.0,37.0,73.51042059881192,66.29510036143803,5.0,185.0
vectis_prime_set,pc,2025-09-01 00:00:00+00:00,74.0,93.1665,6.5,24.0,74.0,4,49.333,8.0,43.8335,88.85228954249692,92.29087353648099,6.5,284.91775
vectis_prime_set,pc,2025-09-02 00:00:00+00:00,77.5,92.667,6.5,21.0,77.5,4,44.4165,9.0,48.2505,108.63192732430517,104.0951114518913,6.5,313.62825000000004
vectis_prime_set,pc,2025-09-03 00:00:00+00:00,76.3335,94.0,9.0,19.0,76.3335,4,43.7505,8.0,50.2495,114.85468737500142,113.04837385277963,8.0,401.996
vectis_prime_set,pc,2025-09-04 00:00:00+00:00,77.0,91.5,7.5,21.5,77.0,4,45.5,5.0,46.0,101.0989010989011,90.31781093525892,5.0,230.0
vectis_prime_set,pc,2025-09-05 00:00:00+00:00,65.8335,93.1665,5.0,24.5,65.8335,4,45.6665,11.0,47.5,104.01497815685458,101.18251641000114,5.0,237.5
vectis_prime_set,pc,2025-09-06 00:00:00+00:00,76.8335,92.5,8.5,28.5,76.8335,4,50.0005,9.0,42.4995,84.99815001849981,96.76714736543266,8.5,361.24575
vectis_prime_set,pc,2025-09-07 00:00:00+00:00,76.833,91.0,8.0,30.5,76.833,4,47.25,10.0,43.75,92.5925925925926,100.49360553581971,8.0,350.0
vectis_prime_set,pc,2025-09-08 00:00:00+00:00,71.0,92.3335,5.5,25.5,71.0,4,48.166,13.0,44.167500000000004,91.69850101731512,99.22780296062554,5.5,242.92125000000001
vectis_prime_set,pc,2025-09-09 00:00:00+00:00,71.5,93.6665,7.0,19.5,71.5,4,49.75,4.0,43.9165,88.27437185929648,80.77122384982536,4.0,175.666
vectis_prime_set,pc,2025-09-10 00:00:00+00:00,73.333,91.0,7.0,25.5,73.333,4,52.1665,9.0,38.8335,74.44145188962266,85.05423362738743,7.0,271.8345
vectis_prime_set,pc,2025-09-11 00:00:00+00:00,72.5,93.0,6.5,24.0,72.5,4,48.3335,8.0,44.6665,92.4131296098979,94.04474438083265,6.5,290.33225
vectis_prime_set,pc,2025-09-12 00:00:00+00:00,70.333,91.6665,5.5,23.0,70.333,4,51.0835,7.0,40.583,79.44443900672428,80.1413840129758,5.5,223.2065
vectis_prime_set,pc,2025-09-13 00:00:00+00:00,73.6665,90.0,7.0,28.5,73.6665,4,52.0835,7.0,37.9165,72.79944704176947,78.84514521510349,7.0,265.4155
vectis_prime_set,pc,2025-09-14 00:00:00+00:00,69.8335,90.3335,4.5,26.5,69.8335,4,58.7495,9.0,31.584000000000003,53.760457535808825,63.06055033148123,4.5,142.12800000000001
vectis_prime_set,pc,2025-09-15 00:00:00+00:00,72.667,90.5,7.5,28.5,72.667,4,47.3335,7.0,43.1665,91.1965098714441,91.06795247708273,7.0,302.1655
vectis_prime_set,pc,2025-09-16 00:00:00+00:00,66.0835,89.5,4.5,33.0,66.0835,4,48.9995,10.0,40.5005,82.65492505025563,82.71357204450112,4.5,182.25225
vectis_prime_set,pc,2025-09-17 00:00:00+00:00,70.1665,89.8335,6.0,25.0,70.1665,4,49.667,8.0,40.1665,80.8716048885578,83.16178324855466,6.0,240.999
vectis_prime_set,pc,2025-09-18 00:00:00+00:00,73.8335,90.833,7.0,20.5,73.8335,4,56.0,7.0,34.833,62.20178571428571,72.43318722133371,7.0,243.831
vectis_prime_set,pc,2025-09-19 00:00:00+00:00,70.167,90.8335,6.0,22.0,70.167,4,45.6665,6.0,45.167,98.90620038759265,87.89092370238133,6.0,271.002
vectis_prime_set,pc,2025-09-20 00:00:00+00:00,76.8335,75.167,6.5,29.5,76.8335,4,54.4995,11.0,20.667500000000004,37.92236626024093,46.43211903976291,6.5,134.33875000000003
