set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
pyrana_prime_set,pc,2025-08-15 00:00:00+00:00,32.3335,43.333,3.5,35.0,32.3335,3,23.0,11.0,20.333,88.40434782608695,40.15264423861807,3.5,71.1655
pyrana_prime_set,pc,2025-08-22 00:00:00+00:00,30.5,49.5,7.0,27.5,30.5,3,15.25,11.0,34.25,224.59016393442624,78.08398784512032,7.0,239.75
pyrana_prime_set,pc,2025-08-23 00:00:00+00:00,30.6665,41.5,6.0,37.5,30.6665,3,19.167,10.0,22.333,116.5179736004591,48.431179533222334,6.0,133.998
pyrana_prime_set,pc,2025-08-24 00:00:00+00:00,28.75,44.0,3.5,34.0,28.75,3,20.5,10.0,23.5,114.63414634146342,45.4454539386509,3.5,82.25
pyrana_prime_set,pc,2025-08-25 00:00:00+00:00,30.25,49.1665,5.0,25.0,30.25,3,17.333,9.0,31.8335,183.65833958345354,65.01308615149507,5.0,159.16750000000002
pyrana_prime_set,pc,2025-08-26 00:00:00+00:00,33.0,46.6665,9.5,26.5,33.0,3,20.0,9.0,26.6665,133.3325,62.05155865888486,9.0,239.99849999999998
pyrana_prime_set,pc,2025-08-27 00:00:00+00:00,37.5,48.1665,8.5,33.0,37.5,3,26.333,9.0,21.8335,82.91307484904873,49.712714549657626,8.5,185.58475
pyrana_prime_set,pc,2025-08-28 00:00:00+00:00,33.8335,47.5,6.0,33.0,33.8335,3,21.667,10.0,25.833,119.22739650159227,56.02125378953712,6.0,154.998
pyrana_prime_set,pc,2025-08-29 00:00:00+00:00,32.5,50.833,5.5,29.0,32.5,3,19.0835,10.0,31.749499999999998,166.37147273822936,67.63145904756486,5.5,174.62224999999998
pyrana_prime_set,pc,2025-08-30 00:00:00+00:00,34.5,49.5,6.5,23.5,34.5,3,17.333,7.0,32.167,185.58241504644323,65.84890770147133,6.5,209.08550000000002
pyrana_prime_set,pc,2025-08-31 00:00:00+00:00,35.0,47.0,5.0,22.0,35.0,3,22.0,8.0,25.0,113.63636363636364,49.78081114847794,5.0,125.0
pyrana_prime_set,pc,2025-09-01 00:00:00+00:00,30.0,52.5,5.0,20.0,30.0,3,20.8335,6.0,31.6665,151.99798401612787,59.16227706290916,5.0,158.33249999999998
