set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
magnus_prime_set,pc,2025-08-15 00:00:00+00:00,31.0,48.5,9.5,31.0,31.0,3,22.75,8.0,25.75,113.18681318681318,58.55444522793104,8.0,206.0
magnus_prime_set,pc,2025-08-22 00:00:00+00:00,30.0,47.6665,9.0,35.0,30.0,3,19.4165,12.0,28.25,145.4948111142585,68.73050171812652,9.0,254.25
magnus_prime_set,pc,2025-08-23 00:00:00+00:00,29.3335,47.3335,9.5,30.0,29.3335,3,25.8335,12.0,21.5,83.22526951439022,52.838997623730556,9.5,204.25
magnus_prime_set,pc,2025-08-24 00:00:00+00:00,30.667,47.8335,11.0,31.0,30.667,3,25.1665,13.0,22.667,90.06814614666324,58.066812791093284,11.0,249.33700000000002
magnus_prime_set,pc,2025-08-25 00:00:00+00:00,29.1665,46.0,6.5,32.5,29.1665,3,27.1665,10.0,18.8335,69.32619218522814,41.51126178837218,6.5,122.41775000000001
magnus_prime_set,pc,2025-08-26 00:00:00+00:00,32.8335,49.667,9.0,27.5,32.8335,3,23.917,10.0,25.75,107.66400468286156,60.51560206100549,9.0,231.75
magnus_prime_set,pc,2025-08-27 00:00:00+00:00,31.667,48.5,8.5,34.0,31.667,3,24.8335,14.0,23.6665,95.30070267984779,58.628316199544194,8.5,201.16525
magnus_prime_set,pc,2025-08-28 00:00:00+00:00,30.3335,48.5,5.5,34.5,30.3335,3,25.5,10.0,23.0,90.19607843137256,48.993639524842656,5.5,126.5
magnus_prime_set,pc,2025-08-29 00:00:00+00:00,27.8335,46.333,4.5,27.5,27.8335,3,27.6665,9.0,18.6665,67.46968355231056,37.26949603478325,4.5,83.99924999999999
magnus_prime_set,pc,2025-08-30 00:00:00+00:00,31.5835,45.167,5.5,29.5,31.5835,3,28.5005,10.0,16.666500000000003,58.47792143997475,35.50228231046914,5.5,91.66575000000002
magnus_prime_set,pc,2025-08-31 00:00:00+00:00,21.667,49.333,3.0,26.0,21.667,3,31.333,10.0,18.0,57.44741965340057,33.629260800289416,3.0,54.0
magnus_prime_set,pc,2025-09-01 00:00:00+00:00,30.1665,49.0,7.5,25.0,30.1665,3,29.0,5.0,20.0,68.96551724137932,39.268613450112575,5.0,100.0
magnus_prime_set,pc,2025-09-02 00:00:00+00:00,26.6665,47.1665,7.5,22.5,26.6665,3,28.333,8.0,18.8335,66.47195849362934,40.84218957322988,7.5,141.25125
magnus_prime_set,pc,2025-09-03 00:00:00+00:00,30.3335,48.5,7.0,22.5,30.3335,3,24.6665,11.0,23.8335,96.62295015506861,54.33619633012191,7.0,166.8345
magnus_prime_set,pc,2025-09-04 00:00:00+00:00,33.5,49.0,8.5,23.5,33.5,3,24.3335,5.0,24.6665,101.36848377750837,49.76367879688999,5.0,123.3325
magnus_prime_set,pc,2025-09-05 00:00:00+00:00,35.3335,49.8335,12.0,27.5,35.3335,3,27.9165,5.0,21.917,78.5091254276145,47.52904499304321,5.0,109.58500000000001
magnus_prime_set,pc,2025-09-06 00:00:00+00:00,35.833,48.0,10.0,28.5,35.833,3,27.6665,7.0,20.3335,73.49502105434371,45.48909356195076,7.0,142.3345
magnus_prime_set,pc,2025-09-07 00:00:00+00:00,35.8335,48.3335,7.5,29.0,35.8335,3,23.3335,9.0,25.0,107.14209184220113,55.52308912542262,7.5,187.5
magnus_prime_set,pc,2025-09-08 00:00:00+00:00,29.4165,47.3335,5.0,29.5,29.4165,3,25.667,9.0,21.6665,84.41383878131452,44.24917244730765,5.0,108.3325
magnus_prime_set,pc,2025-09-09 00:00:00+00:00,21.333,47.0,3.0,20.0,21.333,3,25.667,3.0,21.333,83.11450500642847,29.573817605770625,3.0,63.998999999999995
