set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
gauss_prime_set,pc,2025-08-15 00:00:00+00:00,26.6665,27.3335,30.0,117.5,26.6665,4,15.666,23.0,11.6675,74.47657347121154,38.56935266234101,23.0,268.3525
gauss_prime_set,pc,2025-08-22 00:00:00+00:00,27.5,26.8335,29.5,111.5,27.5,4,16.167,24.0,10.6665,65.97699016515122,35.39267731116673,24.0,255.99599999999998
gauss_prime_set,pc,2025-08-23 00:00:00+00:00,27.3335,27.5,28.5,123.5,27.3335,4,17.250500000000002,25.0,10.249499999999998,59.41566911104024,34.04031841389156,25.0,256.23749999999995
gauss_prime_set,pc,2025-08-24 00:00:00+00:00,26.0,27.5,30.5,112.0,26.0,4,33.6665,22.0,-6.166499999999999,-18.31642730904608,-20.301737463586246,22.0,0.0
gauss_prime_set,pc,2025-08-25 00:00:00+00:00,27.8335,28.6665,27.0,98.5,27.8335,4,16.500500000000002,18.0,12.165999999999997,73.73109905760428,38.17041764388035,18.0,218.98799999999994
gauss_prime_set,pc,2025-08-26 00:00:00+00:00,29.5,27.667,32.5,105.0,29.5,4,17.9165,18.0,9.750500000000002,54.421901599084656,31.4582232680198,18.0,175.50900000000004
gauss_prime_set,pc,2025-08-27 00:00:00+00:00,29.333,27.6665,34.0,115.5,29.333,4,17.833,26.0,9.8335,55.142152189760566,33.68277537283716,26.0,255.67100000000002
gauss_prime_set,pc,2025-08-28 00:00:00+00:00,27.333,25.5,33.0,114.5,27.333,4,18.250500000000002,17.0,7.249499999999998,39.72219939179747,23.243445043704547,17.0,123.24149999999996
gauss_prime_set,pc,2025-08-29 00:00:00+00:00,27.6665,25.0,36.5,115.0,27.6665,4,18.25,20.0,6.75,36.986301369863014,22.49684172486052,20.0,135.0
gauss_prime_set,pc,2025-08-30 00:00:00+00:00,28.167,25.5,33.0,125.0,28.167,4,16.500500000000002,19.0,8.999499999999998,54.54077149177296,29.335063497514028,19.0,170.99049999999994
gauss_prime_set,pc,2025-08-31 00:00:00+00:00,28.0,27.333,27.0,111.0,28.0,4,14.833,13.0,12.499999999999998,84.27155666419469,37.27991756053652,13.0,162.49999999999997
gauss_prime_set,pc,2025-09-01 00:00:00+00:00,28.0,28.5,32.0,98.0,28.0,4,18.1665,16.0,10.3335,56.88217323094708,32.678740742334064,16.0,165.336
gauss_prime_set,pc,2025-09-02 00:00:00+00:00,28.167,28.6665,33.5,94.0,28.167,4,18.1665,20.0,10.5,57.79869540087524,34.5612187025866,20.0,210.0
gauss_prime_set,pc,2025-09-03 00:00:00+00:00,29.167,28.833,39.0,93.5,29.167,4,18.1665,17.0,10.6665,58.7152175708034,35.05533602045318,17.0,181.33049999999997
gauss_prime_set,pc,2025-09-04 00:00:00+00:00,29.167,28.0,36.0,101.5,29.167,4,19.1665,13.0,8.8335,46.08822685414657,27.555419636582023,13.0,114.83550000000001
gauss_prime_set,pc,2025-09-05 00:00:00+00:00,27.6665,26.5,35.0,90.0,27.6665,4,18.167,22.0,8.332999999999998,45.86888313975889,27.987202101109524,22.0,183.32599999999996
gauss_prime_set,pc,2025-09-06 00:00:00+00:00,28.0,29.0,35.5,93.5,28.0,4,18.0005,22.0,10.999500000000001,61.106635926779816,37.01821290616996,22.0,241.98900000000003
gauss_prime_set,pc,2025-09-07 00:00:00+00:00,28.167,26.833,37.5,113.5,28.167,4,18.1665,25.0,8.6665,47.70594225635097,29.931891823735185,25.0,216.66249999999997
gauss_prime_set,pc,2025-09-08 00:00:00+00:00,27.6665,29.0,35.0,95.0,27.6665,4,20.1665,22.0,8.8335,43.80284134579625,29.668180698446065,22.0,194.33700000000002
gauss_prime_set,pc,2025-09-09 00:00:00+00:00,28.3335,28.8335,35.0,94.5,28.3335,4,22.75,19.0,6.083500000000001,26.740659340659345,20.002176096020527,19.0,115.58650000000002
gauss_prime_set,pc,2025-09-10 00:00:00+00:00,27.1665,29.5,31.5,86.0,27.1665,4,22.1665,21.0,7.333500000000001,33.08370739629622,24.093473284700913,21.0,154.00350000000003
gauss_prime_set,pc,2025-09-11 00:00:00+00:00,27.3335,28.1665,28.5,85.5,27.3335,4,19.25,18.0,8.9165,46.319480519480514,28.20593994921807,18.0,160.49699999999999
gauss_prime_set,pc,2025-09-12 00:00:00+00:00,28.1665,28.833,37.5,74.5,28.1665,4,23.6665,12.0,5.166499999999999,21.830435425601582,16.01969866960973,12.0,61.99799999999999
gauss_prime_set,pc,2025-09-13 00:00:00+00:00,29.8335,29.1665,36.0,86.0,29.8335,4,22.834,16.0,6.3325,27.732766926513094,20.383531160977878,16.0,101.32
gauss_prime_set,pc,2025-09-14 00:00:00+00:00,30.1665,29.667,35.0,87.0,30.1665,4,20.1665,15.0,9.500500000000002,47.11030669674957,30.158550248796725,15.0,142.50750000000005
gauss_prime_set,pc,2025-09-15 00:00:00+00:00,31.0,29.3335,36.5,77.0,31.0,4,21.333,12.0,8.000500000000002,37.50292973327709,24.70382276729695,12.0,96.00600000000003
gauss_prime_set,pc,2025-09-16 00:00:00+00:00,32.1665,32.333,35.5,81.0,32.1665,4,19.9165,14.0,12.4165,62.342781111139004,39.08930513719878,14.0,173.831
gauss_prime_set,pc,2025-09-17 00:00:00+00:00,30.1665,30.0,34.0,85.5,30.1665,4,23.500500000000002,13.0,6.499499999999998,27.656858364715635,20.097256734168834,13.0,84.49349999999997
gauss_prime_set,pc,2025-09-18 00:00:00+00:00,30.333,34.333,30.0,53.0,30.333,4,21.333,6.0,13.0,60.938452163315056,34.688770908842265,6.0,78.0
