set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
loki_prime_set,pc,2025-08-15 00:00:00+00:00,70.5,76.6665,17.0,54.5,70.5,4,55.167,11.0,21.499499999999998,38.97166784490728,57.75048097447561,11.0,236.49449999999996
loki_prime_set,pc,2025-08-22 00:00:00+00:00,71.667,78.8335,13.5,26.0,71.667,4,49.667,10.0,29.1665,58.72410252280186,73.94290075052129,10.0,291.66499999999996
loki_prime_set,pc,2025-08-23 00:00:00+00:00,73.5,80.6665,16.5,30.0,73.5,4,47.5,15.0,33.1665,69.8242105263158,93.44100814077365,15.0,497.4975
loki_prime_set,pc,2025-08-24 00:00:00+00:00,73.8335,80.6665,14.5,27.0,73.8335,4,48.5,14.0,32.1665,66.32268041237114,87.63556028515882,14.0,450.331
loki_prime_set,pc,2025-08-25 00:00:00+00:00,72.5,79.8335,17.5,28.0,72.5,4,45.498999999999995,13.0,34.334500000000006,75.46209806808943,95.37331748294,13.0,446.34850000000006
loki_prime_set,pc,2025-08-26 00:00:00+00:00,72.1665,79.5,15.0,33.5,72.1665,4,52.334,13.0,27.165999999999997,51.90889288034546,73.50205077730392,13.0,353.15799999999996
loki_prime_set,pc,2025-08-27 00:00:00+00:00,68.667,79.1665,13.5,35.0,68.667,4,44.083,12.0,35.0835,79.58510083252047,91.89883784908903,12.0,421.002
loki_prime_set,pc,2025-08-28 00:00:00+00:00,71.167,79.8335,17.0,35.0,71.167,4,57.333,8.0,22.500500000000002,39.24528630980413,57.11971943310787,8.0,180.00400000000002
loki_prime_set,pc,2025-08-29 00:00:00+00:00,68.3335,81.5,14.5,31.0,68.3335,4,51.75,11.0,29.75,57.48792270531401,77.71366867727501,11.0,327.25
loki_prime_set,pc,2025-08-30 00:00:00+00:00,69.167,79.6665,12.5,37.5,69.167,4,49.8335,13.0,29.833,59.865351620897584,78.18813242910066,12.5,372.91249999999997
loki_prime_set,pc,2025-08-31 00:00:00+00:00,66.667,74.333,9.0,31.0,66.667,4,44.167,11.0,30.165999999999997,68.2998618878348,72.19713194225808,9.0,271.49399999999997
loki_prime_set,pc,2025-09-01 00:00:00+00:00,70.5,79.8335,15.5,31.5,70.5,4,47.8335,13.0,32.0,66.89872160724178,87.0710721476115,13.0,416.0
loki_prime_set,pc,2025-09-02 00:00:00+00:00,71.1665,78.833,14.5,33.5,71.1665,4,44.8335,13.0,33.9995,75.83503407050532,91.45370253344996,13.0,441.9935
loki_prime_set,pc,2025-09-03 00:00:00+00:00,71.167,79.8335,15.5,31.5,71.167,4,49.833,10.0,30.000500000000002,60.202074930267095,77.97044872141365,10.0,300.005
loki_prime_set,pc,2025-09-04 00:00:00+00:00,70.8335,79.5,13.0,39.5,70.8335,4,46.7495,7.0,32.7505,70.05529470903433,77.13135290236514,7.0,229.25350000000003
loki_prime_set,pc,2025-09-05 00:00:00+00:00,70.8335,85.5,16.5,34.0,70.8335,4,44.4995,10.0,41.0005,92.13699030326184,107.74689313489779,10.0,410.005
