set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
zakti_prime_set,pc,2025-08-15 00:00:00+00:00,21.25,33.167,3.0,26.5,21.25,3,14.75,13.0,18.417,124.86101694915256,36.47139320287483,3.0,55.251000000000005
zakti_prime_set,pc,2025-08-22 00:00:00+00:00,16.0,32.1665,3.5,23.5,16.0,3,13.0,10.0,19.1665,147.43461538461537,37.06511884745329,3.5,67.08275
zakti_prime_set,pc,2025-08-23 00:00:00+00:00,22.0,35.1665,2.5,28.5,22.0,3,16.5835,9.0,18.583,112.05716525462053,32.48409195356978,2.5,46.457499999999996
zakti_prime_set,pc,2025-08-24 00:00:00+00:00,22.75,33.6665,2.0,21.5,22.75,3,15.333,11.0,18.3335,119.56890367181896,31.87798388683647,2.0,36.667
zakti_prime_set,pc,2025-08-25 00:00:00+00:00,18.5,38.1665,4.0,22.5,18.5,3,18.0,8.0,20.1665,112.0361111111111,38.22856599295574,4.0,80.666
zakti_prime_set,pc,2025-08-26 00:00:00+00:00,21.8335,31.667,6.0,31.5,21.8335,3,13.6665,8.0,18.000500000000002,131.71258186075443,37.268710974707986,6.0,108.00300000000001
zakti_prime_set,pc,2025-08-27 00:00:00+00:00,21.3335,31.6665,4.0,30.0,21.3335,3,18.3335,9.0,13.332999999999998,72.72479341096897,25.944820017354488,4.0,53.331999999999994
zakti_prime_set,pc,2025-08-28 00:00:00+00:00,24.8335,33.667,5.5,26.5,24.8335,3,16.5,7.0,17.167,104.04242424242426,33.90057756574812,5.5,94.41850000000001
zakti_prime_set,pc,2025-08-29 00:00:00+00:00,25.6665,29.8335,5.5,27.0,25.6665,3,15.6665,10.0,14.167000000000002,90.42862158108068,30.17795178906287,5.5,77.91850000000001
zakti_prime_set,pc,2025-08-30 00:00:00+00:00,19.3335,34.1665,3.0,31.0,19.3335,3,16.3335,7.0,17.833,109.18051856613705,30.666523157369035,3.0,53.498999999999995
zakti_prime_set,pc,2025-08-31 00:00:00+00:00,19.0,39.333,3.0,23.0,19.0,3,13.333,7.0,26.0,195.00487512187806,44.71090686320838,3.0,78.0
zakti_prime_set,pc,2025-09-01 00:00:00+00:00,20.3335,36.833,4.5,24.0,20.3335,3,13.75,8.0,23.083,167.8763636363636,44.917443970643795,4.5,103.87349999999999
zakti_prime_set,pc,2025-09-02 00:00:00+00:00,21.5,39.1665,4.5,20.5,21.5,3,11.582999999999998,7.0,27.5835,238.13778813778816,52.104119667111156,4.5,124.12575000000001
zakti_prime_set,pc,2025-09-03 00:00:00+00:00,22.1665,38.6665,3.0,25.5,22.1665,3,13.0,7.0,25.6665,197.4346153846154,44.13740350017453,3.0,76.9995
zakti_prime_set,pc,2025-09-04 00:00:00+00:00,12.75,37.333,2.5,26.5,12.75,3,11.9165,7.0,25.4165,213.28829773842992,41.821375186553155,2.5,63.54125
zakti_prime_set,pc,2025-09-05 00:00:00+00:00,11.0,37.8335,0.5,24.5,11.0,3,11.6665,8.0,26.167,224.29177559679428,28.747387757578423,0.5,13.0835
zakti_prime_set,pc,2025-09-06 00:00:00+00:00,12.5,37.333,0.0,27.0,12.5,3,8.0,6.0,29.333,366.66249999999997,0.0,0.0,0.0
