set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
sybaris_prime_set,pc,2025-08-15 00:00:00+00:00,37.5,55.6665,6.0,42.0,37.5,4,20.25,13.0,35.4165,174.8962962962963,80.94859166752504,6.0,212.499
sybaris_prime_set,pc,2025-08-22 00:00:00+00:00,36.667,57.5,4.5,36.5,36.667,4,29.3335,10.0,28.1665,96.02161351355959,57.524026295760315,4.5,126.74924999999999
sybaris_prime_set,pc,2025-08-23 00:00:00+00:00,33.75,55.167,3.0,36.0,33.75,4,26.0,10.0,29.167,112.18076923076924,54.49248054233564,3.0,87.501
sybaris_prime_set,pc,2025-08-24 00:00:00+00:00,41.0,55.5,4.0,39.5,41.0,4,28.0,11.0,27.5,98.21428571428571,55.89412537149672,4.0,110.0
sybaris_prime_set,pc,2025-08-25 00:00:00+00:00,36.6665,54.8335,6.5,33.5,36.6665,4,28.6665,8.0,26.167,91.28076326025152,55.09428377448979,6.5,170.08550000000002
sybaris_prime_set,pc,2025-08-26 00:00:00+00:00,37.1665,54.5,8.0,36.0,37.1665,4,26.333,9.0,28.167,106.96464512209018,63.36846229935112,8.0,225.336
sybaris_prime_set,pc,2025-08-27 00:00:00+00:00,40.0,54.1665,11.5,32.5,40.0,4,28.833,14.0,25.3335,87.86286546665279,66.28666655894929,11.5,291.33525000000003
sybaris_prime_set,pc,2025-08-28 00:00:00+00:00,39.3335,51.833,5.0,39.5,39.3335,4,25.0835,9.0,26.749499999999998,106.64181633344627,54.63010815679763,5.0,133.7475
sybaris_prime_set,pc,2025-08-29 00:00:00+00:00,37.6665,53.5,4.5,34.5,37.6665,4,24.6665,8.0,28.8335,116.89335738754991,56.10740028278637,4.5,129.75075
sybaris_prime_set,pc,2025-08-30 00:00:00+00:00,40.5,56.0,5.5,34.5,40.5,4,31.5005,9.0,24.4995,77.77495595308012,51.054131041332596,5.5,134.74725
sybaris_prime_set,pc,2025-08-31 00:00:00+00:00,44.0,59.667,8.0,32.0,44.0,4,18.0,8.0,41.667,231.48333333333332,91.55175646386826,8.0,333.336
sybaris_prime_set,pc,2025-09-01 00:00:00+00:00,39.167,56.3335,6.0,26.5,39.167,4,29.9165,5.0,26.417,88.30244179633314,49.35467680895809,5.0,132.085
sybaris_prime_set,pc,2025-09-02 00:00:00+00:00,38.8335,61.5,8.5,22.5,38.8335,4,28.999499999999998,9.0,32.5005,112.07262194175763,74.00041583901563,8.5,276.25425
sybaris_prime_set,pc,2025-09-03 00:00:00+00:00,32.8335,58.333,4.5,26.5,32.8335,4,31.5,10.0,26.833,85.18412698412698,54.80063897162006,4.5,120.74849999999999
sybaris_prime_set,pc,2025-09-04 00:00:00+00:00,40.0,55.667,6.0,28.0,40.0,4,34.667,8.0,21.0,60.5763406121095,43.478955055074444,6.0,126.0
