set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
titania_prime_set,pc,2025-08-15 00:00:00+00:00,51.167,60.0,19.5,96.5,51.167,4,30.6665,28.0,29.3335,95.6532372458546,93.66817520465251,19.5,572.00325
titania_prime_set,pc,2025-08-22 00:00:00+00:00,58.5,64.5,20.5,90.5,58.5,4,38.167,19.0,26.333,68.9941572562685,79.83795552466887,19.0,500.327
titania_prime_set,pc,2025-08-23 00:00:00+00:00,54.3335,64.667,18.5,96.0,54.3335,4,36.4165,20.0,28.250500000000002,77.57609874644736,84.96147913596644,18.5,522.6342500000001
titania_prime_set,pc,2025-08-24 00:00:00+00:00,52.5,63.333,14.0,102.0,52.5,4,38.833,21.0,24.5,63.090670306182886,71.01260682422469,14.0,343.0
titania_prime_set,pc,2025-08-25 00:00:00+00:00,54.8335,68.833,12.5,94.0,54.8335,4,37.4995,22.0,31.3335,83.5571140948546,89.83125119398508,12.5,391.66875
titania_prime_set,pc,2025-08-26 00:00:00+00:00,55.8335,62.5,15.0,98.5,55.8335,4,41.5,19.0,21.0,50.602409638554214,60.55962010659523,15.0,315.0
titania_prime_set,pc,2025-08-27 00:00:00+00:00,55.3335,62.333,18.0,104.0,55.3335,4,41.5,19.0,20.833,50.199999999999996,61.875423349403626,18.0,374.99399999999997
titania_prime_set,pc,2025-08-28 00:00:00+00:00,57.5,69.167,14.0,103.5,57.5,4,42.0835,14.0,27.0835,64.35657680563641,73.34347762155171,14.0,379.169
titania_prime_set,pc,2025-08-29 00:00:00+00:00,58.1665,70.0,14.0,90.5,58.1665,4,41.3335,19.0,28.6665,69.35415583001682,81.73552597374919,14.0,401.331
titania_prime_set,pc,2025-08-30 00:00:00+00:00,58.5,66.333,14.0,94.5,58.5,4,39.5,19.0,26.833,67.93164556962024,76.50774836319788,14.0,375.662
titania_prime_set,pc,2025-08-31 00:00:00+00:00,53.333,69.667,12.0,80.0,53.333,4,45.334,16.0,24.333,53.6749459566771,65.66092599303163,12.0,291.996
titania_prime_set,pc,2025-09-01 00:00:00+00:00,57.167,68.0,15.0,81.5,57.167,4,39.5835,22.0,28.4165,71.78875036315637,83.91769733561694,15.0,426.2475
titania_prime_set,pc,2025-09-02 00:00:00+00:00,57.8335,69.5,13.5,81.0,57.8335,4,44.5,18.0,25.0,56.17977528089887,70.21767770509626,13.5,337.5
titania_prime_set,pc,2025-09-03 00:00:00+00:00,56.667,70.0,8.0,55.0,56.667,4,35.667,9.0,34.333,96.25984803880337,77.24036695862611,8.0,274.664
