set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
dakra_prime_set,pc,2025-08-15 00:00:00+00:00,23.8335,35.833,5.0,37.5,23.8335,3,16.0,10.0,19.833,123.95624999999998,41.41697211716109,5.0,99.16499999999999
dakra_prime_set,pc,2025-08-22 00:00:00+00:00,22.333,34.8335,4.5,31.0,22.333,3,14.9995,7.0,19.834000000000003,132.23107436914566,37.465626533162315,4.5,89.25300000000001
dakra_prime_set,pc,2025-08-23 00:00:00+00:00,18.5,37.0,2.0,28.5,18.5,3,18.5,11.0,18.5,100.0,32.167491308614,2.0,37.0
dakra_prime_set,pc,2025-08-24 00:00:00+00:00,16.8335,35.167,2.5,30.0,16.8335,3,16.75,10.0,18.417,109.95223880597017,32.99883414477309,2.5,46.042500000000004
dakra_prime_set,pc,2025-08-25 00:00:00+00:00,10.0,36.1665,1.5,25.0,10.0,3,17.3335,4.0,18.833,108.65087835693886,23.319516274434108,1.5,28.249499999999998
dakra_prime_set,pc,2025-08-26 00:00:00+00:00,11.75,34.333,2.5,33.5,11.75,3,15.0835,9.0,19.249499999999998,127.61958431398546,33.649170104947615,2.5,48.123749999999994
dakra_prime_set,pc,2025-08-27 00:00:00+00:00,15.8335,37.1665,5.0,33.0,15.8335,3,16.0,11.0,21.1665,132.290625,45.087994391416615,5.0,105.8325
dakra_prime_set,pc,2025-08-28 00:00:00+00:00,25.0,37.1665,3.5,31.5,25.0,3,19.6665,9.0,17.5,88.98380494749956,33.05679461179492,3.5,61.25
dakra_prime_set,pc,2025-08-29 00:00:00+00:00,17.5,36.0,4.0,33.5,17.5,3,12.75,10.0,23.25,182.35294117647058,46.29615436808448,4.0,93.0
dakra_prime_set,pc,2025-08-30 00:00:00+00:00,16.8335,35.6665,3.0,38.0,16.8335,3,16.0,11.0,19.6665,122.91562499999999,37.5381692568483,3.0,58.9995
dakra_prime_set,pc,2025-08-31 00:00:00+00:00,10.0,37.0,4.0,25.0,10.0,3,16.0,8.0,21.0,131.25,39.80858779917539,4.0,84.0
dakra_prime_set,pc,2025-09-01 00:00:00+00:00,17.0,38.6665,4.5,32.0,17.0,3,18.583,6.0,20.0835,108.0745842974762,36.6308684802359,4.5,90.37575000000001
