set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
baruuk_prime_set,pc,2025-08-15 00:00:00+00:00,39.0,47.5,11.5,59.0,39.0,4,27.7495,16.0,19.7505,71.17425539198904,52.90365067176907,11.5,227.13074999999998
baruuk_prime_set,pc,2025-08-22 00:00:00+00:00,40.0,49.6665,13.5,51.5,40.0,4,22.1665,14.0,27.5,124.06108316603884,74.00494681169272,13.5,371.25
baruuk_prime_set,pc,2025-08-23 00:00:00+00:00,38.6665,49.6665,15.0,61.5,38.6665,4,24.833,14.0,24.8335,100.00201344984497,68.05083104612262,14.0,347.669
baruuk_prime_set,pc,2025-08-24 00:00:00+00:00,37.6665,48.6665,8.0,63.5,37.6665,4,20.749499999999998,14.0,27.917,134.54300103616958,68.3837791101637,8.0,223.336
baruuk_prime_set,pc,2025-08-25 00:00:00+00:00,40.0,48.5,7.5,57.5,40.0,4,20.5,18.0,28.0,136.58536585365854,70.98559035244531,7.5,210.0
baruuk_prime_set,pc,2025-08-26 00:00:00+00:00,39.1665,48.667,12.0,62.5,39.1665,4,22.7505,16.0,25.916500000000003,113.91617766642493,69.93389177242446,12.0,310.99800000000005
baruuk_prime_set,pc,2025-08-27 00:00:00+00:00,38.0,48.8335,10.0,69.5,38.0,4,20.75,20.0,28.0835,135.3421686746988,76.31638598835119,10.0,280.83500000000004
baruuk_prime_set,pc,2025-08-28 00:00:00+00:00,39.8335,48.333,9.0,66.0,39.8335,4,24.4165,15.0,23.9165,97.95220445190753,60.633102559437795,9.0,215.24849999999998
baruuk_prime_set,pc,2025-08-29 00:00:00+00:00,39.1665,49.3335,9.0,62.5,39.1665,4,23.4165,17.0,25.917,110.67836781756455,67.20180382751182,9.0,233.25300000000001
baruuk_prime_set,pc,2025-08-30 00:00:00+00:00,37.6665,50.0,5.5,62.5,37.6665,4,23.500500000000002,19.0,26.499499999999998,112.76143060785938,64.07374639424823,5.5,145.74724999999998
baruuk_prime_set,pc,2025-08-31 00:00:00+00:00,38.333,49.333,8.0,61.0,38.333,4,21.333,16.0,28.0,131.25205081329398,70.29996830873529,8.0,224.0
baruuk_prime_set,pc,2025-09-01 00:00:00+00:00,36.6665,51.0,8.5,60.0,36.6665,4,26.167,17.0,24.833,94.90197577100928,63.735117583476075,8.5,211.08049999999997
baruuk_prime_set,pc,2025-09-02 00:00:00+00:00,40.0,50.8335,11.5,55.5,40.0,4,20.0,11.0,30.8335,154.1675,77.24714059843083,11.0,339.1685
baruuk_prime_set,pc,2025-09-03 00:00:00+00:00,41.0,50.0,14.0,55.0,41.0,4,22.917,17.0,27.083,118.17864467425926,75.80373148850225,14.0,379.162
baruuk_prime_set,pc,2025-09-04 00:00:00+00:00,42.0,54.1665,14.0,54.0,42.0,4,22.3335,13.0,31.833,142.53475720330442,85.1058328976391,13.0,413.82899999999995
baruuk_prime_set,pc,2025-09-05 00:00:00+00:00,40.1665,52.1665,12.0,63.5,40.1665,4,21.167,18.0,30.999499999999998,146.45202437756885,85.35605967515738,12.0,371.99399999999997
baruuk_prime_set,pc,2025-09-06 00:00:00+00:00,37.0,50.5,10.0,55.5,37.0,4,23.1665,15.0,27.3335,117.98717976388319,70.62443353013613,10.0,273.33500000000004
baruuk_prime_set,pc,2025-09-07 00:00:00+00:00,40.0,45.8335,14.0,63.0,40.0,4,22.4165,16.0,23.417,104.46323020989006,64.8768193628963,14.0,327.838
baruuk_prime_set,pc,2025-09-08 00:00:00+00:00,40.1665,49.8335,14.0,56.0,40.1665,4,22.1665,18.0,27.667,124.81447228926535,78.18152128381763,14.0,387.338
baruuk_prime_set,pc,2025-09-09 00:00:00+00:00,39.6665,49.833,13.5,64.0,39.6665,4,20.9165,13.0,28.9165,138.24731671168695,76.8193243555659,13.0,375.9145
baruuk_prime_set,pc,2025-09-10 00:00:00+00:00,39.5,51.3335,9.5,63.0,39.5,4,26.167,14.0,25.1665,96.17648182825697,63.62922360734727,9.5,239.08175
baruuk_prime_set,pc,2025-09-11 00:00:00+00:00,39.667,51.0,7.5,46.0,39.667,4,25.0,12.0,26.0,104.0,61.103132178102626,7.5,195.0
baruuk_prime_set,pc,2025-09-12 00:00:00+00:00,39.8335,55.8335,10.5,48.0,39.8335,4,23.833,13.0,32.0005,134.26971006587507,81.29048161154613,10.5,336.00525000000005
baruuk_prime_set,pc,2025-09-13 00:00:00+00:00,42.8335,55.5,12.0,46.0,42.8335,4,22.6665,15.0,32.8335,144.85474157898219,87.61182766426711,12.0,394.002
baruuk_prime_set,pc,2025-09-14 00:00:00+00:00,39.3335,54.0,11.0,47.5,39.3335,4,21.4165,14.0,32.5835,152.1420400158756,84.58599573851663,11.0,358.4185
baruuk_prime_set,pc,2025-09-15 00:00:00+00:00,39.3335,53.3335,10.0,49.5,39.3335,4,27.5,15.0,25.8335,93.94,66.74872605413766,10.0,258.33500000000004
baruuk_prime_set,pc,2025-09-16 00:00:00+00:00,40.3335,50.667,10.5,62.5,40.3335,4,26.165999999999997,15.0,24.501000000000005,93.63678055491862,63.8588966958576,10.5,257.26050000000004
baruuk_prime_set,pc,2025-09-17 00:00:00+00:00,42.0,54.0,11.5,53.5,42.0,4,31.6665,14.0,22.3335,70.52721330112264,58.43698137226574,11.5,256.83525000000003
baruuk_prime_set,pc,2025-09-18 00:00:00+00:00,44.0,52.1665,11.5,49.5,44.0,4,28.0,11.0,24.1665,86.30892857142858,60.544311326057006,11.0,265.8315
baruuk_prime_set,pc,2025-09-19 00:00:00+00:00,41.5,53.0,13.0,56.5,41.5,4,31.75,13.0,21.25,66.92913385826772,56.07996825432425,13.0,276.25
baruuk_prime_set,pc,2025-09-20 00:00:00+00:00,45.3335,50.8335,11.0,63.5,45.3335,4,27.9165,13.0,22.917,82.09123636559025,58.70724616109255,11.0,252.08700000000002
baruuk_prime_set,pc,2025-09-21 00:00:00+00:00,44.3335,53.3335,14.0,57.0,44.3335,4,26.5,15.0,26.8335,101.25849056603774,73.53139810643411,14.0,375.669
baruuk_prime_set,pc,2025-09-22 00:00:00+00:00,48.167,55.1665,11.0,55.5,48.167,4,29.0835,13.0,26.083,89.6831536782024,66.81769435876322,11.0,286.913
