set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
zhuge_prime_set,pc,2025-08-15 00:00:00+00:00,26.6665,34.6665,4.5,35.0,26.6665,5,19.083,14.0,15.5835,81.66168841377143,34.13142389257708,4.5,70.12575000000001
zhuge_prime_set,pc,2025-08-22 00:00:00+00:00,26.667,39.1665,4.0,51.5,26.667,5,13.9165,13.0,25.25,181.43929867423563,53.163552004657284,4.0,101.0
zhuge_prime_set,pc,2025-08-23 00:00:00+00:00,25.5,42.0,4.0,43.5,25.5,5,19.75,13.0,22.25,112.65822784810126,46.84709038034157,4.0,89.0
zhuge_prime_set,pc,2025-08-24 00:00:00+00:00,24.1665,38.0,3.0,38.5,24.1665,5,20.1665,7.0,17.8335,88.43130934966406,30.667382982501024,3.0,53.5005
zhuge_prime_set,pc,2025-08-25 00:00:00+00:00,26.5,37.3335,2.0,39.0,26.5,5,18.3335,10.0,19.0,103.6354214961682,32.29371148619122,2.0,38.0
zhuge_prime_set,pc,2025-08-26 00:00:00+00:00,26.6665,39.3335,2.5,40.5,26.6665,5,17.5,9.0,21.8335,124.76285714285714,38.16614226272754,2.5,54.58375
zhuge_prime_set,pc,2025-08-27 00:00:00+00:00,29.3335,40.0,4.5,41.5,29.3335,5,21.9995,7.0,18.0005,81.82231414350325,34.002218937692255,4.5,81.00224999999999
zhuge_prime_set,pc,2025-08-28 00:00:00+00:00,32.0835,37.6665,3.5,44.0,32.0835,5,22.0005,9.0,15.666,71.20747255744189,29.592442536478814,3.5,54.831
zhuge_prime_set,pc,2025-08-29 00:00:00+00:00,25.5835,39.3335,4.5,37.5,25.5835,5,25.3335,10.0,14.0,55.26279432372155,28.591992904359593,4.5,63.0
zhuge_prime_set,pc,2025-08-30 00:00:00+00:00,20.25,35.5,2.5,38.5,20.25,5,18.5,8.0,17.0,91.89189189189189,28.894373435013197,2.5,42.5
zhuge_prime_set,pc,2025-08-31 00:00:00+00:00,18.0,41.333,2.0,36.0,18.0,5,15.5,6.0,25.833,166.66451612903225,38.647924335751235,2.0,51.666
zhuge_prime_set,pc,2025-09-01 00:00:00+00:00,25.9165,38.833,4.0,37.5,25.9165,5,18.5,10.0,20.333,109.9081081081081,40.48772932328007,4.0,81.332
zhuge_prime_set,pc,2025-09-02 00:00:00+00:00,22.5,38.667,2.0,28.0,22.5,5,22.5,8.0,16.167,71.85333333333334,26.019782730322103,2.0,32.334
