set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
nami_skyla_prime_set,pc,2025-08-15 00:00:00+00:00,88.1665,111.6665,6.5,20.0,88.1665,3,49.166,2.0,62.5005,127.12138469674166,95.45466206320911,2.0,125.001
nami_skyla_prime_set,pc,2025-08-22 00:00:00+00:00,81.0,105.5,7.5,16.0,81.0,3,51.417,4.0,54.083,105.18505552638233,101.04285065900292,4.0,216.332
nami_skyla_prime_set,pc,2025-08-23 00:00:00+00:00,82.333,109.0,7.0,18.0,82.333,3,57.166,6.0,51.834,90.67277752510235,104.30720708801341,6.0,311.004
nami_skyla_prime_set,pc,2025-08-24 00:00:00+00:00,81.0,106.0,6.0,13.5,81.0,3,51.833,6.0,54.167,104.50292284837845,105.40411504387916,6.0,325.002
nami_skyla_prime_set,pc,2025-08-25 00:00:00+00:00,78.3335,109.667,3.0,19.0,78.3335,3,47.666,3.0,62.001000000000005,130.07384718667396,85.95163668379435,3.0,186.00300000000001
nami_skyla_prime_set,pc,2025-08-26 00:00:00+00:00,75.3335,108.333,5.0,17.5,75.3335,3,52.667,4.0,55.666,105.69426775779898,94.61377597843791,4.0,222.664
nami_skyla_prime_set,pc,2025-08-27 00:00:00+00:00,83.6665,110.8335,7.0,17.5,83.6665,3,52.584,5.0,58.2495,110.77418986764033,112.64574337018917,5.0,291.2475
nami_skyla_prime_set,pc,2025-08-28 00:00:00+00:00,84.1665,109.0,6.0,18.5,84.1665,3,54.667,3.0,54.333,99.38902811568222,90.02029007447061,3.0,162.999
nami_skyla_prime_set,pc,2025-08-29 00:00:00+00:00,80.0,111.8335,7.5,17.5,80.0,3,47.834,5.0,63.9995,133.79499937283103,125.65858132502399,5.0,319.9975
nami_skyla_prime_set,pc,2025-08-30 00:00:00+00:00,82.667,112.5,7.0,18.0,82.667,3,53.1665,4.0,59.3335,111.59940940253732,109.12616921415899,4.0,237.334
nami_skyla_prime_set,pc,2025-08-31 00:00:00+00:00,78.333,117.333,5.0,13.0,78.333,3,60.0,6.0,57.333,95.555,107.11480052572185,5.0,286.66499999999996
nami_skyla_prime_set,pc,2025-09-01 00:00:00+00:00,75.4165,115.5,3.0,17.0,75.4165,3,53.834,3.0,61.666,114.54842664487126,85.48722807281916,3.0,184.998
nami_skyla_prime_set,pc,2025-09-02 00:00:00+00:00,82.3335,114.0,5.5,16.0,82.3335,3,55.417,3.0,58.583,105.71304834256637,95.0078856819503,3.0,175.749
nami_skyla_prime_set,pc,2025-09-03 00:00:00+00:00,78.5,116.167,5.0,15.0,78.5,3,49.251000000000005,5.0,66.916,135.86729203467948,119.89737664286451,5.0,334.58
nami_skyla_prime_set,pc,2025-09-04 00:00:00+00:00,77.6665,111.333,5.0,18.0,77.6665,3,57.334,3.0,53.998999999999995,94.18320717200962,85.5185589933607,3.0,161.99699999999999
nami_skyla_prime_set,pc,2025-09-05 00:00:00+00:00,67.1665,110.5,4.5,19.5,67.1665,3,62.5,3.0,48.0,76.8,74.01914066131927,3.0,144.0
nami_skyla_prime_set,pc,2025-09-06 00:00:00+00:00,77.0,113.0,5.5,20.0,77.0,3,55.168000000000006,6.0,57.831999999999994,104.82888631090483,110.38605773584781,5.5,318.07599999999996
nami_skyla_prime_set,pc,2025-09-07 00:00:00+00:00,77.6665,107.333,5.0,22.0,77.6665,3,53.334,6.0,53.998999999999995,101.24685941425732,100.88591410860157,5.0,269.995
nami_skyla_prime_set,pc,2025-09-08 00:00:00+00:00,81.6665,113.3335,4.5,22.5,81.6665,3,57.0,5.0,56.3335,98.83070175438597,98.47401356435579,4.5,253.50075
nami_skyla_prime_set,pc,2025-09-09 00:00:00+00:00,81.1665,115.0,4.5,18.0,81.1665,3,55.333,6.0,59.667,107.83257730468256,108.82834314786942,4.5,268.5015
nami_skyla_prime_set,pc,2025-09-10 00:00:00+00:00,66.1665,113.5,4.0,20.5,66.1665,3,61.25,6.0,52.25,85.3061224489796,92.73222194679704,4.0,209.0
nami_skyla_prime_set,pc,2025-09-11 00:00:00+00:00,76.8335,114.1665,5.0,14.5,76.8335,3,55.667,5.0,58.4995,105.08829288447374,104.8170330701066,5.0,292.4975
nami_skyla_prime_set,pc,2025-09-12 00:00:00+00:00,48.0,113.6665,1.0,14.5,48.0,3,58.584,3.0,55.082499999999996,94.02311211252218,55.3608064652772,1.0,55.082499999999996
nami_skyla_prime_set,pc,2025-09-13 00:00:00+00:00,81.1665,110.6665,5.5,25.0,81.1665,3,50.498999999999995,3.0,60.167500000000004,119.14592368165708,97.57757304625481,3.0,180.5025
