item_url,ts,platform,top_buy_avg,buy_count,top_sell_avg,sell_count
acceltra_prime_barrel,2025-10-01T01:53:02+00:00,pc,5.333,3,7.333,16
acceltra_prime_blueprint,2025-10-01T01:53:03+00:00,pc,,0,1.0,9
acceltra_prime_receiver,2025-10-01T01:53:04+00:00,pc,1.0,2,2.0,12
acceltra_prime_set,2025-10-01T01:53:05+00:00,pc,16.667,9,19.667,44
acceltra_prime_stock,2025-10-01T01:53:06+00:00,pc,5.333,4,9.0,6
afuris_prime_barrel,2025-10-01T01:53:06+00:00,pc,,0,7.0,4
afuris_prime_blueprint,2025-10-01T01:53:07+00:00,pc,,0,4.333,7
afuris_prime_link,2025-10-01T01:53:08+00:00,pc,,0,5.667,5
afuris_prime_receiver,2025-10-01T01:53:08+00:00,pc,21.333,6,37.5,2
afuris_prime_set,2025-10-01T01:53:09+00:00,pc,60.0,4,94.0,14
akarius_prime_barrel,2025-10-01T01:53:10+00:00,pc,2.333,3,3.667,13
akarius_prime_blueprint,2025-10-01T01:53:11+00:00,pc,6.333,8,7.667,15
akarius_prime_link,2025-10-01T01:53:11+00:00,pc,2.0,5,2.0,19
akarius_prime_receiver,2025-10-01T01:53:12+00:00,pc,7.0,6,9.667,9
akarius_prime_set,2025-10-01T01:53:13+00:00,pc,40.0,15,45.0,19
akbolto_prime_barrel,2025-10-01T01:53:14+00:00,pc,30.0,1,9.667,4
akbolto_prime_blueprint,2025-10-01T01:53:14+00:00,pc,,0,4.0,9
akbolto_prime_link,2025-10-01T01:53:15+00:00,pc,,0,11.0,4
akbolto_prime_receiver,2025-10-01T01:53:16+00:00,pc,18.0,5,29.333,6
akbolto_prime_set,2025-10-01T01:53:16+00:00,pc,45.0,4,84.333,16
akbronco_prime_blueprint,2025-10-01T01:53:17+00:00,pc,,0,2.0,6
akbronco_prime_link,2025-10-01T01:53:17+00:00,pc,1.5,2,2.333,13
akbronco_prime_set,2025-10-01T01:53:18+00:00,pc,3.0,2,5.0,14
akjagara_prime_barrel,2025-10-01T01:53:19+00:00,pc,12.5,2,26.0,5
akjagara_prime_blueprint,2025-10-01T01:53:20+00:00,pc,,0,4.667,4
akjagara_prime_link,2025-10-01T01:53:20+00:00,pc,,0,5.667,5
akjagara_prime_receiver,2025-10-01T01:53:21+00:00,pc,,0,10.0,7
akjagara_prime_set,2025-10-01T01:53:22+00:00,pc,72.0,5,99.667,10
aklex_prime_blueprint,2025-10-01T01:53:22+00:00,pc,5.0,1,10.0,6
aklex_prime_link,2025-10-01T01:53:23+00:00,pc,20.0,3,41.333,6
aklex_prime_set,2025-10-01T01:53:24+00:00,pc,,0,43.0,12
akmagnus_prime_blueprint,2025-10-01T01:53:24+00:00,pc,6.667,4,16.667,10
akmagnus_prime_link,2025-10-01T01:53:25+00:00,pc,7.0,4,13.0,9
